state_id,address,name,description,image,image2
1,Alexandria,bibliotheca Alexandrina,"The Library of Alexandria was for many centuries, more or less from 280 BC to 416, one of the largest and most important libraries on the Planet. This valiant center of knowledge was located in the city of Alexandria, north of Egypt, west of the River Nile, right on the shores of the Mediterranean.",https://www.cairotoptours.com/storage/256/conversions/454161fbaa2b9c2dce809b54cdc13acf-webp.webp,https://www.cairotoptours.com/storage/255/conversions/e0bd8b2f0e4d4f3a0db979ed0b2c0667-webp.webp
1,Alexandria,Alexandria National Museum,"The National Museum of Alexandria has grown in importance and is now considered one of the best museums in Egypt. It was inaugurated in 2003, and it is one of the reasons why this city is worth visiting. The National Museum of Alexandria is housed in a restored palace and contains around 1,800 objects that narrate the history of Alexandria through its different eras, including Pharaonic, Roman, Coptic, and Islamic.",https://www.cairotoptours.com/storage/265/conversions/601838218d16f87bc6eb9a16fa7ce4f7-webp.webp,https://www.cairotoptours.com/storage/264/conversions/de7aa84b7aec5abeeb1b3d83e17a496d-webp.webp
1,Alexandria,The Citadel of Qaitbey,"The citadel of Qaitbay in Alexandria is considered one of the most important defensive fortresses, not only in Egypt but also along the Mediterranean coast. It was an important part of the fortifications of Alexandria in the 15th century AD.",https://www.cairotoptours.com/storage/273/conversions/b05838fc2535ae2381ef9d481e20f637-webp.webp,https://www.cairotoptours.com/storage/272/conversions/8e84f03ff0f5accfcddc36b2543314f5-webp.webp
1,Alexandria,Alexandria Corniche,Alexandria Corniche is a very important Alexandrian place and you can see the wonder of the country through it. People frequent it in summer and winter to enjoy the view of the Mediterranean Sea. The Corniche stretches from Ras El-Teen in Al-Gomrok neighborhood to Montazah Palace in Al-Montazah neighborhood. It is the most important traffic artery of the city in the horizontal direction.,https://www.cairotoptours.com/storage/283/conversions/447c28f1f3bf4cc92965acdbb5a7f07f-webp.webp,https://www.cairotoptours.com/storage/282/conversions/6b49b4a3ccb34a30af0e476d733fc653-webp.webp
1,Alexandria,The Roman Amphitheatre in Alexandria | Ancient Roman Theatre,"The Roman amphitheater in Alexandria in Egypt is a large circular Roman theatre, and the only one of its kind to be found in the country. Though often referred to as an amphitheater, the site is actually that of a small Roman theatre rather than a larger sporting arena.",https://www.cairotoptours.com/storage/291/conversions/4f0bfd8ab0076ce75033727550b163fe-webp.webp,https://www.cairotoptours.com/storage/290/conversions/85601ce15da8cb1b4b424697a83fca5f-webp.webp
1,Alexandria,Pompey's Pillar,"Pompey's Pillar is an ancient Roman column located in Alexandria, Egypt. It is considered the tallest memorial monument in the world. The exact date of the creation of this column has not been determined, but it dates back to Roman times, and it was said that this column was dedicated to Christianity after its victory in Alexandria, Ali Miriam, in the Battle of the Shirt.",https://www.cairotoptours.com/storage/766/conversions/13a2db126c69067375274ebd870ea5b3-webp.webp,https://www.cairotoptours.com/storage/765/conversions/6b27755e6118a94c3d9336b6524ba4c0-webp.webp
1,Alexandria,The Catacombs of Kom el Shoqafa,"The catacombs of Kom al-Shuqafa are a historical archaeological site located in Alexandria. It is considered one of the most important cemeteries in the city and is considered one of the Seven Wonders of the World in the Middle Ages. The cemetery consists of a series of Alexandrian tombs, statues, and archaeological remains of the Pharaonic funerary cult, and due to the time period at the time, many of the features of the catacombs at Kom al-Shuqafa combine Roman, Greek, and Egyptian cultural points.",https://www.cairotoptours.com/storage/804/conversions/1bdcf40475caa5a5aaca17560fe4fea1-webp.webp,https://www.cairotoptours.com/storage/803/conversions/f0f39ab4a4fa9f8b6ff2e384b6b30b50-webp.webp
1,Alexandria,Alexandria Port,"Alexandria is the second-largest city in Egypt and has two ports (the eastern port) between the peninsula and the shallow eastern port that is not used for shipping. The Port of Alexandria is managed by the Alexandria Port Authority and is the largest port in the region, handling approximately 55% of Egypt's international trade.",https://www.cairotoptours.com/storage/911/conversions/c77832003c8859319743cdb014909c73-webp.webp,https://www.cairotoptours.com/storage/910/conversions/ff73ca242ed797026b8138cd53e9c30d-webp.webp
1,Alexandria,Alexandria Airport | Borg El Arab International Airport,Borg El Arab International Airport became the principal airport of Alexandria from December 2010 when all traffic was transferred from Alexandria International Airport. The airport consists of a new passenger building and an administration building. The passenger terminal is designed in the shape of a boat and consists of three floors.,https://www.cairotoptours.com/storage/920/conversions/cb1aae59cf0d415fabab82e1da9b2548-webp.webp,https://www.cairotoptours.com/storage/919/conversions/1ee5da68b8e479452001f250e4966a17-webp.webp
1,Alexandria,El Alamein War Cemetery | Alamein Commonwealth in Egypt,"The El Alamein War Cemeteries are the cemeteries where Allied and Axis soldiers have been buried since World War II at El Alamein, on the northern coast of Egypt. It is divided into individual parts and sectors and is still visited annually by some of the surviving families of Allied soldiers.",https://www.cairotoptours.com/storage/1378/conversions/4cf5585350df0897b0a4f49f996ad3fd-webp.webp,https://www.cairotoptours.com/storage/1377/conversions/7bfc0dd25e42475ebb979877c095a7a9-webp.webp
